#	Name	ПАРТІЯ/РЕГІОН
1	Абдуллін Олександр Рафкатович	політична партія Всеукраїнське об'єднання "Батьківщина"
2	Агафонова Наталія Володимирівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
3	Алексєєв Ігор Сергійович	Політична партія "НАРОДНИЙ ФРОНТ"
4	Алєксєєв Сергій Олегович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
5	Амельченко Василь Васильович	Радикальна Партія Олега Ляшка
6	Андрієвський Дмитро Йосипович	м. Київ
7	Антонищак Андрій Федорович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
8	Арешонков Володимир Юрійович	Житомирська область
9	Ар’єв Володимир Ігорович	м. Київ
10	Артеменко Андрій Вікторович	Радикальна Партія Олега Ляшка
11	Артюшенко Ігор Андрійович	Запорізька область
12	Бабак Альона Валеріївна	Політична партія "Об'єднання "САМОПОМІЧ"
13	Бабенко Валерій Борисович	Політична партія "НАРОДНИЙ ФРОНТ"
14	Бабій Юрій Юрійович	Політична партія "НАРОДНИЙ ФРОНТ"
15	Бакулін Євген Миколайович	Луганська область
16	Бакуменко Олександр Борисович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
17	Балицький Євген Віталійович	Запорізька область
18	Балога Віктор Іванович	Закарпатська область
19	Балога Іван Іванович	Закарпатська область
20	Балога Павло Іванович	Закарпатська область
21	Бандуров Володимир Володимирович	Запорізька область
22	Барвіненко Віталій Дмитрович	Одеська область
23	Барна Олег Степанович	Тернопільська область
24	Батенко Тарас Іванович	Львівська область
25	Бахтеєва Тетяна Дмитрівна	Політична партія "Опозиційний блок"
26	Безбах Яків Якович	Дніпропетровська область
27	Береза Борислав Юхимович	м. Київ
28	Береза Юрій Миколайович	Політична партія "НАРОДНИЙ ФРОНТ"
29	Березенко Сергій Іванович	Чернігівська область
30	Березкін Станіслав Семенович	Кіровоградська область
31	Березюк Олег Романович	Політична партія "Об'єднання "САМОПОМІЧ"
32	Бєлькова Ольга Валентинівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
33	Білецький Андрій Євгенійович	м. Київ
34	Білий Олексій Петрович	Політична партія "Опозиційний блок"
35	Біловол Олександр Миколайович	Харківська область
36	Білозір Оксана Володимирівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
37	Білоцерковець Дмитро Олександрович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
38	Бобов Геннадій Борисович	Черкаська область
39	Богдан Руслан Дмитрович	Полтавська область
40	Богомолець Ольга Вадимівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
41	Богуслаєв Вячеслав Олександрович	Запорізька область
42	Бойко Олена Петрівна	Політична партія "НАРОДНИЙ ФРОНТ"
43	Бойко Юрій Анатолійович	Політична партія "Опозиційний блок"
44	Бондар Віктор Васильович	Хмельницька область
45	Бондар Михайло Леонтійович	Львівська область
46	Брензович Василь Іванович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
47	Бригинець Олександр Михайлович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
48	Бриченко Ігор Віталійович	Політична партія "НАРОДНИЙ ФРОНТ"
49	Бублик Юрій Васильович	Полтавська область
50	Бурбак Максим Юрійович	Чернівецька область
51	Бухарєв Владислав Вікторович	Сумська область
52	Вадатурський Андрій Олексійович	Миколаївська область
53	Валентиров Сергій Васильович	Запорізька область
54	Ванат Петро Михайлович	Політична партія "НАРОДНИЙ ФРОНТ"
55	Васюник Ігор Васильович	Політична партія "НАРОДНИЙ ФРОНТ"
56	Величкович Микола Романович	Політична партія "НАРОДНИЙ ФРОНТ"
57	Велікін Олег Маркович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
58	Веселова Наталія Василівна	Політична партія "Об'єднання "САМОПОМІЧ"
59	Висоцький Сергій Віталійович	Політична партія "НАРОДНИЙ ФРОНТ"
60	Вілкул Олександр Юрійович	Політична партія "Опозиційний блок"
61	Вінник Іван Юлійович	Херсонська область
62	Вітко Артем Леонідович	Радикальна Партія Олега Ляшка
63	Власенко Сергій Володимирович	політична партія Всеукраїнське об'єднання "Батьківщина"
64	Вовк Віктор Іванович	Радикальна Партія Олега Ляшка
65	Вознюк Юрій Володимирович	Рівненська область
66	Войцеховська Світлана Михайлівна	Політична партія "НАРОДНИЙ ФРОНТ"
67	Войціцька Вікторія Михайлівна	Політична партія "Об'єднання "САМОПОМІЧ"
68	Воропаєв Юрій Миколайович	Політична партія "Опозиційний блок"
69	Гаврилюк Михайло Віталійович	Київська область
70	Галасюк Віктор Валерійович	Радикальна Партія Олега Ляшка
71	Гальченко Андрій Володимирович	Дніпропетровська область
72	Герасимов Артур Володимирович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
73	Геращенко Антон Юрійович	Політична партія "НАРОДНИЙ ФРОНТ"
74	Геращенко Ірина Володимирівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
75	Герега Олександр Володимирович	Хмельницька область
76	Гєллєр Євгеній Борисович	Донецька область
77	Гіршфельд Анатолій Мусійович	Харківська область
78	Головко Михайло Йосифович	Тернопільська область
79	Голуб Владислав Володимирович	Черкаська область
80	Голубов Дмитро Іванович	Одеська область
81	Гончаренко Олексій Олексійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
82	Гопко Ганна Миколаївна	Політична партія "Об'єднання "САМОПОМІЧ"
83	Горбунов Олександр Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
84	Горват Роберт Іванович	Закарпатська область
85	Грановський Олександр Михайлович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
86	Гринів Ігор Олексійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
87	Гудзенко Віталій Іванович	Київська область
88	Гузь Ігор Володимирович	Волинська область
89	Гуляєв Василь Олександрович	Одеська область
90	Гусак Володимир Георгійович	Політична партія "Опозиційний блок"
91	Давиденко Валерій Миколайович	Чернігівська область
92	Данілін Владислав Юрійович	Політична партія "НАРОДНИЙ ФРОНТ"
93	Данченко Олександр Іванович	Політична партія "Об'єднання "САМОПОМІЧ"
94	Дейдей Євген Сергійович	Політична партія "НАРОДНИЙ ФРОНТ"
95	Демчак Руслан Євгенійович	Вінницька область
96	Денисенко Анатолій Петрович	Харківська область
97	Денисенко Андрій Сергійович	Дніпропетровська область
98	Денисенко Вадим Ігорович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
99	Денісова Людмила Леонтіївна	Політична партія "НАРОДНИЙ ФРОНТ"
100	Дерев’янко Юрій Богданович	Івано-Франківська область
101	Деркач Андрій Леонідович	Сумська область
102	Дехтярчук Олександр Володимирович	Рівненська область
103	Джемілєв Мустафа	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
104	Дзензерський Денис Вікторович	Політична партія "НАРОДНИЙ ФРОНТ"
105	Дзюблик Павло Володимирович	Житомирська область
106	Дирів Анатолій Борисович	Івано-Франківська область
107	Діденко Ігор Анатолійович	Політична партія "Об'єднання "САМОПОМІЧ"
108	Дідич Валентин Володимирович	Дніпропетровська область
109	Дмитренко Олег Миколайович	Чернігівська область
110	Добкін Дмитро Маркович	Харківська область
111	Добкін Михайло Маркович	Політична партія "Опозиційний блок"
112	Добродомов Дмитро Євгенович	Львівська область
113	Довбенко Михайло Володимирович	Івано-Франківська область
114	Довгий Олесь Станіславович	Кіровоградська область
115	Долженков Олександр Валерійович	Політична партія "Опозиційний блок"
116	Домбровський Олександр Георгійович	Вінницька область
117	Донець Тетяна Анатоліївна	Політична партія "НАРОДНИЙ ФРОНТ"
118	Драюк Сергій Євсейович	Політична партія "НАРОДНИЙ ФРОНТ"
119	Дроздик Олександр Валерійович	Політична партія "НАРОДНИЙ ФРОНТ"
120	Дубіль Валерій Олександрович	політична партія Всеукраїнське об'єднання "Батьківщина"
121	Дубінін Олександр Іванович	Дніпропетровська область
122	Дубневич Богдан Васильович	Львівська область
123	Дубневич Ярослав Васильович	Львівська область
124	Дунаєв Сергій Володимирович	Луганська область
125	Євлахов Анатолій Сергійович	Чернігівська область
126	Євтушок Сергій Миколайович	Рівненська область
127	Єдаков Ярослав Юрійович	Політична партія "НАРОДНИЙ ФРОНТ"
128	Єднак Остап Володимирович	Політична партія "Об'єднання "САМОПОМІЧ"
129	Єленський Віктор Євгенович	Політична партія "НАРОДНИЙ ФРОНТ"
130	Ємець Леонід Олександрович	м. Київ
131	Єфімов Максим Вікторович	Донецька область
132	Єфремова Ірина Олексіївна	Політична партія "НАРОДНИЙ ФРОНТ"
133	Жеваго Костянтин Валентинович	Полтавська область
134	Жолобецький Олександр Олександрович	Миколаївська область
135	Журжій Андрій Валерійович	Політична партія "Об'єднання "САМОПОМІЧ"
136	Заболотний Григорій Михайлович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
137	Загорій Гліб Володимирович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
138	Заліщук Світлана Петрівна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
139	Заставний Роман Йосипович	Політична партія "НАРОДНИЙ ФРОНТ"
140	Звягільський Юхим Леонідович	Донецька область
141	Зубач Любомир Львович	Політична партія "Об'єднання "САМОПОМІЧ"
142	Зубик Володимир Володимирович	Черкаська область
143	Іванчук Андрій Володимирович	Політична партія "НАРОДНИЙ ФРОНТ"
144	Івахів Степан Петрович	Волинська область
145	Івченко Вадим Євгенович	політична партія Всеукраїнське об'єднання "Батьківщина"
146	Іллєнко Андрій Юрійович	м. Київ
147	Ільюк Артем Олександрович	Миколаївська область
148	Іонова Марія Миколаївна	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
149	Іоффе Юлій Якович	Луганська область
150	Іщейкін Костянтин Євгенович	Полтавська область
151	Іщенко Валерій Олександрович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
152	Кадикало Микола Олегович	Політична партія "НАРОДНИЙ ФРОНТ"
153	Каплін Сергій Миколайович	Полтавська область
154	Карпунцов Валерій Віталійович	ПАРТІЯ "БЛОК ПЕТРА ПОРОШЕНКА"
